apogee_id,param_m_h,param_m_h_err,param_alpha_m,param_alpha_m_err,glat
2M17525705-2535374,0.2005452,0.02385236,-0.0294202,0.009550327,0.323378583597
2M17534146-2528515,0.4713057,0.02396951,0.0364201,0.00853822,0.236744944228
2M17534936-2532416,-9999,-1,-9999,-1,0.178765427108
2M17535011-2551198,-9999,-1,-9999,-1,0.0188686949135
2M17540172-2528147,-9999,-1,-9999,-1,0.176258848595
2M17544665-2548326,0.3170536,0.02435813,-0.00676403,0.009204738,-0.140474333696
2M17551084-2527212,-9999,-1,-9999,-1,-0.040568485389
2M17552885-2536555,-9999,-1,-9999,-1,-0.179520446762
2M17564043-2535166,-9999,-1,-9999,-1,-0.3981216721
2M05460545+2856005,-0.3132432,0.03309481,0.0263743,0.01677696,0.086645618049
2M05465252+2736486,0.1891819,0.02627279,0.06858242,0.01179874,-0.451446486632
2M05474849+2813084,-0.06335177,0.029896,0.06387853,0.01259273,0.0384601333739
2M05484365+2755357,-0.06418287,0.03050945,0.02241543,0.01379949,0.0611499042602
2M17525591-2533537,-9999,-1,-9999,-1,0.341691745385
2M17525655-2522279,-9999,-1,-9999,-1,0.436471749878
2M17531946-2530437,-9999,-1,-9999,-1,0.292255415951
2M17532453-2530171,-9999,-1,-9999,-1,0.279586067539
2M00221787+6235264,0.007843643,0.02844319,0.06066842,0.01256939,-0.0914289365653
2M00241448+6223259,0.1136422,0.02769567,0.06149101,0.0125056,-0.314874214946
2M00244031+6215017,-9999,-1,-9999,-1,-0.459377455507
2M00245104+6312494,-0.03800036,0.02988956,0.07271741,0.01340111,0.496599379312
2M00274195+6236285,-0.1601511,0.0302014,0.07606716,0.01461578,-0.137925725204
2M21085059+4808149,0.2019878,0.0264549,-0.002257521,0.01027619,0.255642214137
2M21091406+4805103,-0.0895633,0.02910449,0.1395578,0.01416409,0.172882731906
2M21091818+4724033,0.09428768,0.02775791,0.00688725,0.01220469,-0.301135008421
2M21091928+4754451,0.1228343,0.02557713,0.03257342,0.01034738,0.0442268123164
2M21093019+4834013,-0.4179504,0.02950042,0.01068971,0.01455355,0.466847712433
2M21093969+4837150,-9999,-1,-9999,-1,0.484231273406
2M21100766+4805170,-0.3232064,0.0321737,0.08770524,0.01594434,0.064802055438
2M21101300+4814108,0.06673361,0.02965156,0.04902627,0.0121095,0.154986840004
2M21101423+4731499,0.3725666,0.02534339,0.1058005,0.009311757,-0.328602037536
2M21103524+4801134,0.384708,0.02506181,0.1071377,0.01033716,-0.0375256694693
2M21103683+4723306,0.09716927,0.02603422,0.006042019,0.01059988,-0.469779066499
2M21104932+4831059,0.1527122,0.02772787,0.06752402,0.01090123,0.273879904011
2M21115316+4736243,-0.1145209,0.02996267,0.1128609,0.01494204,-0.479504137458
2M21120605+4809528,0.1771847,0.02791686,0.01591664,0.0108163,-0.123111239551
2M21123387+4748047,-0.4075718,0.03179565,0.06027592,0.01687165,-0.428989309037
2M21125185+4844348,0.1987119,0.02601573,0.1294299,0.0113217,0.182204492024
2M22235416+5727591,0.2272852,0.02691737,-0.02029382,0.01030494,0.0915324218397
2M22240876+5726020,-9999,-1,-9999,-1,0.0465626323014
2M22273314+5730168,-0.1958658,0.02995401,0.09501012,0.01528303,-0.135181422292
2M22302523+5808464,-0.3924635,0.03339699,0.1259866,0.01677406,0.215620319896
2M22320112+5726408,-0.1622973,0.03045154,0.1076376,0.01490187,-0.496206276085
2M22331751+5759568,-9999,-1,-9999,-1,-0.104265912063
2M17425057-2937543,-9999,-1,-9999,-1,0.151807976487
2M17430400-2932357,-9999,-1,-9999,-1,0.156952438392
2M17445261-2914110,-9999,-1,-9999,-1,-0.0180528384514
2M17452281-2907470,-9999,-1,-9999,-1,-0.0560999127025
2M17452908-2904063,-9999,-1,-9999,-1,-0.0436075428734
2M17455625-2851092,-9999,-1,-9999,-1,-0.0157484646527
2M18290263-1021203,-9999,-1,-9999,-1,0.197391722838
2M18301345-1037431,0.4073471,0.0251295,0.02792588,0.01028883,-0.186258222774
2M18304030-0941042,0.1998654,0.02387167,-0.01854759,0.009715592,0.153461569783
2M18311495-0932310,-9999,-1,-9999,-1,0.0932589440052
2M18000833-2359566,-9999,-1,-9999,-1,-0.285599926572
2M18001298-2341368,-9999,-1,-9999,-1,-0.149162865465
2M18002659-2335189,-9999,-1,-9999,-1,-0.142127838856
2M18060709-2012567,-9999,-1,-9999,-1,0.372900440019
2M18063014-1954140,-9999,-1,-9999,-1,0.446341896075
2M18444092-0256156,0.5167888,0.02439949,-0.02953933,0.008495736,0.162136082013
2M18445798-0328074,0.1485821,0.02749156,0.02246427,0.01081735,-0.143558596221
2M18450107-0331262,0.5045885,0.02404585,-0.02110845,0.008443831,-0.180213876685
2M18451094-0338457,0.5795593,0.02402845,0.008927016,0.009199999,-0.272456433211
2M18453552-0157319,0.4035741,0.0254657,0.009951633,0.009190493,0.40684323067
2M18454419-0326488,0.4120676,0.02503587,-0.01113969,0.009040922,-0.304554154845
2M18454780-0150473,0.3931901,0.02170379,-0.0006422941,0.009433897,0.412663364697
2M18461032-0246329,0.1751372,0.02732115,0.1440363,0.01107615,-0.0949769062474
2M01420103+6158447,-0.2501216,0.02988595,0.03930926,0.01361298,-0.311435717022
2M03144893+5731180,-0.6530781,0.03477629,0.1344983,0.02033711,-0.156305505526
2M03152923+5749522,-0.1827487,0.03130538,0.1174861,0.01477412,0.154533189634
2M03183837+5724142,-0.4179427,0.0333677,0.08454248,0.01699274,0.014714583607
2M03230882+5727588,-0.4016938,0.03149304,0.0727388,0.01510607,0.394824831191
2M03305285+5627325,-9999,-1,-9999,-1,0.148561601187
2M03332569+5636555,-0.1322319,0.02960913,0.08476914,0.01421573,0.47821034996
2M04314396+4732043,-0.2349291,0.03220934,0.06453598,0.01452708,-0.437639208357
2M05210979+3608189,-0.1277614,0.03060861,0.04212794,0.01317129,-0.39733471025
2M05233697+3541562,-0.2032074,0.0314294,0.06055767,0.0152238,-0.237600976924
2M17393863-3015064,-0.0929212,0.03114148,0.0747569,0.01315347,0.411840069405
2M17394346-3105403,-0.7504274,0.0361635,0.2485601,0.02046928,-0.0511935480848
2M17403933-3113218,-9999,-1,-9999,-1,-0.288046937646
2M17410113-3121510,-9999,-1,-9999,-1,-0.428816727394
2M17415094-3029564,0.02096189,0.02780688,0.1322383,0.01150385,-0.122503347045
2M17415201-3000429,-9999,-1,-9999,-1,0.131377255381
2M17485731-2650288,-9999,-1,-9999,-1,0.454956316144
2M17492385-2642411,0.4070171,0.02169835,-0.01361679,0.009076649,0.437171263055
2M17502114-2649395,0.2632315,0.02445,0.00361368,0.009436971,0.194596978765
2M17503763-2642556,-0.1831431,0.02646451,0.05117871,0.01354307,0.199434129527
2M17512539-2716334,0.4843949,0.02346251,0.02586342,0.009259545,-0.239639904943
2M17523952-2712111,0.1782507,0.02408169,-0.02231419,0.009866855,-0.438762074122
2M17524360-2656270,-9999,-1,-9999,-1,-0.318364102676
2M06353765+0634471,-0.2962153,0.03270093,0.06035315,0.01725142,-0.498084798017
2M19452367+2440479,-0.165988,0.02759566,0.009434698,0.01284316,0.100939220622
2M19455957+2426444,-0.1648419,0.02789176,0.005118573,0.01245849,-0.134274198399
2M19460993+2453384,0.4374117,0.02519556,0.00384359,0.01010334,0.0569061916153
2M19462817+2502366,-9999,-1,-9999,-1,0.0724938086039
2M19465164+2426359,0.3531846,0.02620261,0.006831377,0.0108465,-0.30620096637
2M06015704+2253155,-0.06109919,0.03011506,0.07735858,0.0138339,0.0959141425076
